Player,Nation,Pos,Age,MP,Clube,Year,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Matches,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Playing Time MP
Luis Segovia,ec ECU,DF,26.0,,Botafogo-RJ,2024,0,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,0
Fernando Tobio,ar ARG,DF,24.0,18,Palmeiras,2014,18,1559.0,17.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,,,,,,,,,,,,,
Jorge Valdivia,cl CHI,MF,30.0,17,Palmeiras,2014,16,1336.0,14.8,0.0,6.0,6.0,0.0,0.0,0.0,5.0,1.0,0.0,0.4,0.4,0.0,0.4,Matches,,,,,,,,,,,,,
Jonatan Cristaldo,ar ARG,FW,24.0,17,Palmeiras,2014,8,853.0,9.5,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches,,,,,,,,,,,,,
Pablo Mouche,ar ARG,"FW,MF",26.0,17,Palmeiras,2014,8,780.0,8.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches,,,,,,,,,,,,,
Agustín Allione,ar ARG,MF,19.0,15,Palmeiras,2014,8,763.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,
William Mendieta,py PAR,MF,25.0,11,Palmeiras,2014,6,521.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,
Mauricio Victorino,uy URU,DF,31.0,7,Palmeiras,2014,5,567.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,
Sebastián Eguren,uy URU,MF,33.0,5,Palmeiras,2014,2,244.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,
Lucas Barrios,py PAR,FW,30.0,13,Palmeiras,2015,7,652.0,7.2,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.69,0.14,0.83,0.69,0.83,Matches,,,,,,,,,,,,,
Jonatan Cristaldo,ar ARG,FW,25.0,22,Palmeiras,2015,5,788.0,8.8,6.0,1.0,7.0,6.0,0.0,0.0,0.0,1.0,0.69,0.11,0.8,0.69,0.8,Matches,,,,,,,,,,,,,
Agustín Allione,ar ARG,MF,20.0,12,Palmeiras,2015,5,448.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches,,,,,,,,,,,,,
Pablo Mouche,ar ARG,"FW,MF",27.0,5,Palmeiras,2015,4,272.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,
Jorge Valdivia,cl CHI,MF,31.0,4,Palmeiras,2015,3,284.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,
Fernando Tobio,ar ARG,DF,25.0,1,Palmeiras,2015,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,
Francisco Arancibia,cl CHI,"FW,MF",18.0,0,Palmeiras,2015,0,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,
Yerry Mina,co COL,DF,21.0,13,Palmeiras,2016,13,984.0,10.9,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,0.37,0.09,0.46,0.37,0.46,Matches,,,,,,,,,,,,,
Lucas Barrios,py PAR,FW,31.0,9,Palmeiras,2016,3,371.0,4.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.24,0.0,0.24,0.24,0.24,Matches,,,,,,,,,,,,,
Agustín Allione,ar ARG,MF,21.0,7,Palmeiras,2016,3,297.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,
Jonatan Cristaldo,ar ARG,FW,26.0,3,Palmeiras,2016,0,67.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.34,0.0,1.34,1.34,1.34,Matches,,,,,,,,,,,,,
Yerry Mina,co COL,DF,22.0,15,Palmeiras,2017,15,1323.0,14.7,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.14,0.07,0.2,0.14,0.2,Matches,,,,,,,,,,,,,
Alejandro Guerra,ve VEN,MF,31.0,20,Palmeiras,2017,15,1249.0,13.9,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,0.36,0.14,0.5,0.36,0.5,Matches,,,,,,,,,,,,,
Miguel Borja,co COL,FW,24.0,24,Palmeiras,2017,9,1117.0,12.4,6.0,1.0,7.0,5.0,1.0,1.0,3.0,0.0,0.48,0.08,0.56,0.4,0.48,Matches,,,,,,,,,,,,,
Miguel Borja,co COL,FW,25.0,16,Palmeiras,2018,15,1103.0,12.3,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,0.24,0.08,0.33,0.24,0.33,Matches,,,,,,,,,,,,,
Gustavo Gómez,py PAR,DF,24.0,14,Palmeiras,2018,13,1181.0,13.1,2.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,0.15,0.0,0.15,0.08,0.08,Matches,,,,,,,,,,,,,
Alejandro Guerra,ve VEN,MF,32.0,9,Palmeiras,2018,3,353.0,3.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.51,0.25,0.51,Matches,,,,,,,,,,,,,
Tyra Håkansson,se SWE,MF,,2,Palmeiras,2018,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,
Nicolás Freire,ar ARG,DF,23.0,0,Palmeiras,2018,0,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,
Gustavo Gómez,py PAR,DF,25.0,22,Palmeiras,2019,22,1952.0,21.7,3.0,0.0,3.0,2.0,1.0,1.0,6.0,1.0,0.14,0.0,0.14,0.09,0.09,Matches,2.5,1.8,0.4,2.1,8.0,42.0,7.0,0.12,0.02,0.13,0.08,0.1,
Miguel Borja,co COL,FW,26.0,9,Palmeiras,2019,3,349.0,3.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.26,0.26,0.52,0.26,0.52,Matches,1.0,1.0,0.2,1.2,5.0,9.0,24.0,0.25,0.05,0.3,0.25,0.3,
Iván Angulo,co COL,"FW,MF",19.0,0,Palmeiras,2019,0,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,
Alejandro Guerra,ve VEN,MF,33.0,0,Palmeiras,2019,0,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,
Matías Viña,uy URU,DF,22.0,,Palmeiras,2020,23,1932.0,21.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.05,0.09,0.14,0.05,0.14,Matches,0.8,0.8,1.8,2.6,49.0,73.0,137.0,0.04,0.08,0.12,0.04,0.12,23
Gustavo Gómez,py PAR,DF,26.0,,Palmeiras,2020,21,1844.0,20.5,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.05,0.05,0.1,0.05,0.1,Matches,0.6,0.6,1.4,1.9,9.0,61.0,3.0,0.03,0.07,0.09,0.03,0.09,21
Benjamín Kuscevic,cl CHI,DF,23.0,,Palmeiras,2020,8,766.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,0.4,0.4,0.4,0.7,3.0,22.0,1.0,0.04,0.04,0.09,0.04,0.09,11
Iván Angulo,co COL,"FW,MF",20.0,,Palmeiras,2020,0,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,0
Marino Hinestroza,co COL,MF,17.0,,Palmeiras,2020,0,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,0
Jean Quiñonez,ec ECU,FW,18.0,,Palmeiras,2020,0,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,0
Anibal Vega,py PAR,FW,19.0,,Palmeiras,2020,0,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,0
Gustavo Gómez,py PAR,DF,27.0,,Palmeiras,2021,20,1800.0,20.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,1.3,1.3,0.2,1.5,4.0,73.0,12.0,0.06,0.01,0.07,0.06,0.07,20
Benjamín Kuscevic,cl CHI,DF,24.0,,Palmeiras,2021,11,906.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.1,0.1,0.0,0.1,Matches,0.6,0.6,0.1,0.7,1.0,21.0,3.0,0.06,0.01,0.07,0.06,0.07,11
